Распределение алертов по правилам корреляции
2025-04-01T00:00:00+03:00 - 2025-04-24T15:54:04+03:00
[ТД] Электропривод

value,metric
1,5,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,cb507aa7-b4d5-416b-9094-fadb4919b74d,S01-PDC
1,4,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,7685f88d-984f-46ac-a597-11bfa0c67c40,IT17
1,4,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,5f8c28be-f72d-40a1-ac21-799ea9e6806a,KASSA01
1,4,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,5626d259-58d9-406b-a715-a70bc42b1075,OFFICE14
1,3,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,3839ebf1-b240-44a9-9b41-7697b1761575,BSN31
1,3,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,9d56f948-86f0-4415-a3a8-f6b26c184130,CERT03
1,3,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,9ff24ea5-df69-466a-893d-f5103e34b24c,CERT04
1,3,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,d14bb16c-f6c2-457d-81c6-38f6576a1e38,CKO20
1,3,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,9ffe5e08-dfce-4e7a-90c8-272e534a3688,IT10
1,3,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,21a9a317-fde0-49f5-a97d-bf96cbcb0fb4,MANAGER30
1,3,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,99baeef2-11a3-48ae-8c32-f5bd5f2afd0f,TEHNO34
1,2,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,aceaf37c-904c-49c5-bd85-948f2a1f214a,BTZ23
1,2,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,dbb92b08-1ae4-441e-8723-4bf4945d9c70,C75MASTER40
1,2,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,71826ddf-dd65-462f-847a-52073002120f,C76SBORKA13
1,2,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,d0e9d10b-fa50-4da5-bfc3-2bfb8b63cd4f,C77-IRK30
1,2,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,7403cdc5-84bb-4457-bf79-45f4aa4a865f,C77MASTER43
1,2,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,2442bafb-6be4-4149-9a12-f83e5142729d,C77MASTER45
1,2,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,f6f98cdb-219a-4018-8db0-ea63c40a3c87,CKO21
1,2,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,bab6c7c7-f617-4707-94b0-7e2ee3b211ae,IT01
1,2,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,6c877e16-b5ab-4207-b535-33cf0f3192ae,KBNO22
1,2,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,3c55ac42-7360-467d-8fab-6348f433c4db,KBR02
1,2,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,9f9da1be-9190-4894-8cba-b5dbbc48a37e,KBTEHNO23
1,2,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,751d9407-bed3-490a-9b95-53cfafcc5c20,KO20
1,2,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,f5ddbda8-5476-4311-a271-34e027135d6b,METROLOG20
1,2,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,32fd084a-eab4-4114-ad5d-fd593127d5b3,OTD12NOT09
1,2,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,f98e95d0-e0e8-4d16-81bc-d8e06ea76738,OTD12PC21
1,2,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,f2d5286c-f35d-4cf1-8503-d1a8cab984f3,OTD12PC35
1,2,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,771fbdf0-a819-4f52-8141-8c311ffd15ed,PDB31
1,2,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,c323a2f5-5580-4754-ba2c-75bb56a80817,PLOTD40
1,2,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,a006a9cd-4e5f-4df8-8e88-bf42f785bc2f,PLOTD42
1,2,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,7068bc2e-5b4b-4a69-bed3-ada57e2e5aa2,S07-FILE
1,2,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,27cf086f-e7c5-42bf-ab3c-167be4320083,S16-KSC
1,2,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,5d45b810-044d-49c1-9fa0-a7e4870d9a0f,S41-DC1
1,2,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,3e5f7a8f-d3a4-45b9-8c42-e891da8d8edf,SNAB20
1,2,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,277e0c83-c8b1-44c8-8f64-80291c9a88eb,TEHNO20
1,2,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,aa63c4db-20c1-4f37-8bdc-36d4917c569b,TEHNO_HEMILAB30
1,2,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,0be93631-4822-405d-b535-d051e573fcd0,VKS
1,2,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,7bb75b88-b495-44f5-a46d-8890f647c189,VPCOMP10
1,2,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,99665caf-4be2-4c68-bdde-c9109bfc8f50,ZAKUP51
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,f5849cc3-2751-41c3-aafb-5763ea916e80,BSN30
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,ff754e82-e5c6-4553-bcb1-01e88211e382,C75-30
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,ce5a8e99-6f31-4b34-86f4-9b68a61c3d63,C77-30
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,e36a93c5-05f9-46b2-99ec-87b3e7d921cb,C77-IRK32
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,b12d28c3-805e-40ab-8dad-dc0667d7f21c,C77BOSS30
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,8f3168fe-b6e9-407b-9c77-d4c4068e3aa0,C77MASTER41
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,a48fd10d-a354-4e66-ab4f-2b2214a13a84,C77MASTER42
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,7f9db688-f4a3-4d19-a704-b684c2dc0944,CERT02
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,cfeb3e04-45a6-4bb8-88bd-341a34698f4d,CERT10
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,22873158-9a88-4008-a66f-90983f4efcf3,CKS11
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,381a6310-5959-408c-b2b1-ddfcad2e5585,CKS43
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,bfc9a50d-805c-4648-acc5-caca90ac33a4,ENERGI31
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,a21954a5-0cd8-43a2-9d79-a95687d3b4fa,ENERGI32
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,96140b53-4820-4243-9f88-3ee821a8954e,ENERGI34
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,0e1af100-6e3c-4f8f-833d-80cdbeb22354,GOCHS10
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,1b782eb0-0dd4-49ff-bcd5-256a280b8d31,HRM10
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,c6c0a629-fbb2-414a-9667-077d646b903a,KBEA14
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,91ed10c1-c2bd-49c8-b4be-e0baec95eaef,KBEA42
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,defd7d1a-a77a-4270-b2da-0946e15e82c3,KBEA43
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,903c29cd-7bea-4ab1-b942-683188969d2d,KBEA50
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,d682136a-791a-451c-a067-deef659f3381,KBEA51
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,96defe37-6e32-4101-884e-d410e3edd6a1,KBEM42
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,1b43b512-4c09-4c67-8a84-01fb64251430,KBEM51
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,0a8d139a-03bb-470d-9ddf-2ef7093a4ade,KBNO20
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,52fa0938-dbaf-40a4-8536-2330efc6f119,KBNO23
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,c59ba511-58c9-4b4f-835f-7e431fab03ca,KBNO24
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,ead856be-6d76-4c6c-acff-ffd47b480c75,KBNO30
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,29c8a2fe-764a-4cff-897f-9ed6c33ca3de,KBPR40
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,b2316ae8-bc75-49e6-9a60-a505528e3e45,KBPR50
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,eaa87524-e5ad-4c4c-93a8-f5555ef9fdbf,KBSEA16
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,3f154ae5-4bfa-464a-963d-40b1aea0c571,KBSEA20
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,5753c023-a1a8-4bff-b991-ca81c5631c1e,KBSEA50
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,0db89be9-1b8a-4d7b-8109-71802e95ff5e,KBSEA52
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,7bb94213-28ed-4a84-9599-c1ab3206af2a,KBTEHNO20
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,7e9690f6-f85d-4cf4-a620-c603d18008aa,MANAGER100
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,f0ae2e93-33f4-4ce4-9d50-15ac40703c20,MANAGER70
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,affb2336-0e93-4b33-ad6e-3e9cd21ed3b9,MARK50
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,ce271bee-ecd6-446a-b224-ddfe49baf7f6,METROLOG15
